index,y_true,y_pred,correct,y_true_name,y_pred_name
7,0,1,0,A-type,I-type
21,0,1,0,A-type,I-type
30,1,0,0,I-type,A-type
38,1,0,0,I-type,A-type
42,0,1,0,A-type,I-type
47,1,0,0,I-type,A-type
48,1,2,0,I-type,S-type
55,0,1,0,A-type,I-type
64,2,1,0,S-type,I-type
65,1,0,0,I-type,A-type
76,1,0,0,I-type,A-type
85,0,1,0,A-type,I-type
86,1,0,0,I-type,A-type
89,0,1,0,A-type,I-type
91,1,2,0,I-type,S-type
96,1,2,0,I-type,S-type
99,0,1,0,A-type,I-type
100,2,0,0,S-type,A-type
103,0,2,0,A-type,S-type
112,0,1,0,A-type,I-type
120,0,1,0,A-type,I-type
138,2,1,0,S-type,I-type
148,0,1,0,A-type,I-type
152,0,2,0,A-type,S-type
160,0,2,0,A-type,S-type
163,0,1,0,A-type,I-type
168,2,1,0,S-type,I-type
172,0,2,0,A-type,S-type
176,1,0,0,I-type,A-type
183,0,1,0,A-type,I-type
186,1,0,0,I-type,A-type
199,1,2,0,I-type,S-type
211,0,1,0,A-type,I-type
215,1,2,0,I-type,S-type
223,0,1,0,A-type,I-type
234,1,0,0,I-type,A-type
