index,y_true,y_pred,correct,y_true_name,y_pred_name,SiO2,TiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O,MnO,P2O5,L.O.I,Total,Ga,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Al,10000*Ga/Al,Zr+Nb+Ce+Y,REE,Sr/Y,A/CNK,A/NK,P,Type_Encoded
7,0,1,0,A-type,I-type,0.659437909984556,-0.3370873640729794,0.0002036051257387,-0.7688220548042847,-0.0082882747432117,-0.3108960290206554,1.1514438136211866,-0.6576311491341994,0.7324706604424877,-0.5085112197521235,-0.2718363451868799,2.633597622219828,-1.1520666587985828,-0.926938498429542,0.1424743613770605,-0.6846019181868049,-0.3704438351108509,-0.6952674744175966,0.5471397850704409,-0.2065528863474083,-0.8101499291170042,-0.4674497274656047,-0.595971716787931,-1.0801815901581542,-0.0939055953565618,-1.0096376427212364,-0.9947465732433884,-0.9952289662407628,-0.9798702364300218,-0.8961107330237748,-0.8531906278853916,-0.8119411145820963,-0.7916857023224416,-0.5331099387589301,-0.7049109329739389,-0.5563676783929278,-0.8325211980839616,-0.8040062631281784,0.0002036051257386,-0.4834733040547118,-0.9451174806642472,-0.9962698019201754,0.1893291123755199,-0.3216461288279164,-0.5203902795304745,-0.5078059636752432,0
24,1,0,0,I-type,A-type,-0.2303089379823575,0.2571131138213963,-0.1711966361815507,0.1058690831671839,-0.0481035822452387,0.3057570757448079,-0.5608521613885096,1.826000411454032,-0.6170980407417584,-0.1594289795794624,1.2930223956388998,-3.300313570032634,-1.3681884467176202,-0.9000370940042599,0.3046149667977872,-0.3660659621127384,0.2234687036323537,-0.3296533489914118,1.1800511719261584,-0.5200945747180012,-0.5563908416248327,-0.5825496741073791,-0.6146861699643575,-0.7554423065679574,0.4036513624227191,-0.6588552990298213,-0.5724660294698666,-0.4855863762257716,-0.4613707543632535,-0.4248239129726779,-0.3909376994152846,-0.3706430638854668,-0.3523177020273294,-0.1909540468500835,-0.5667605946812553,-0.7406891719226761,-0.1127431129810395,-0.6340878429127097,-0.1711966361815511,-0.58102696577177,-0.1284958072212735,-0.5732760626224161,-0.0787601281270707,-0.8041304799368223,-0.5362119080232448,-0.1588428720809988,1
30,1,0,0,I-type,A-type,0.7631984753451306,-0.3866040705641775,-1.452617487859864,-0.3193909433249894,-0.665240848526657,-0.5164470639424764,-0.5608521613885096,0.5963592956726038,-0.4243025120011519,0.3060140073174192,-0.3846189571382874,-0.8580607320637728,-0.1404327579009595,-0.4716839620016896,-0.4022566946894184,-0.0855762320500598,-0.3247113500946904,0.0217864545824467,0.1586046584257617,0.7651547522987027,0.9277297381495856,0.9786778072643808,0.9621153151098988,1.0247831185811775,0.6953226825002288,0.7183773926445265,0.4276721005200533,0.2969616007004731,0.2020035829868765,0.1503876930384042,-0.0687614159361191,-0.0331798486468679,-0.125976610966211,0.0973439731842222,-0.3435946635930737,-0.3817911820863175,0.0694266084753472,-0.2919073001339729,-1.4526174878598646,0.5545354387716579,0.075723798845676,0.932478028764043,-0.4561264982449174,-0.424383615185744,-0.6622721236129661,0.3064412500446604,1
42,0,1,0,A-type,I-type,0.6905660795927291,-0.7827377224937612,-0.5956162813234119,-0.6328597017517248,-0.6055178872736166,-1.0032784624415263,0.3491792658893708,0.3772153344442298,-0.809893569482365,-0.7412327132005644,-0.6665754870168062,-0.4001383249446214,-0.5772746696522055,-0.4923773500211374,-0.5565545368616136,-0.3567567791525052,-0.2408684608983961,-0.4451323829059536,-0.8003987097210258,-0.8131157291047633,-0.8020841814532599,-0.707979103140082,-0.7047766771159918,-0.6082583147249188,-0.7458767814121713,-0.5340803714080428,-0.4613395705820977,-0.4329781088693853,-0.438495777213249,-0.4369081904098856,-0.5310143444062261,-0.4804683706199222,-0.538716247607074,-0.339855222032637,-0.7176632718932637,-0.2422197415944001,-0.2332006160938944,-0.9329098922571544,-0.5956162813234126,0.008527545437468,-0.5291811444454152,-0.7755581080293764,-0.475092519825355,-0.000543641958424,-0.7014623925043612,-0.7404480247380727,0
47,1,0,0,I-type,A-type,0.5478953022219417,0.1085629943478022,-0.3344349612361137,1.1792163258765591,-0.2272724660043602,-0.2135297493208454,0.2653605817979873,0.1215473796777942,-0.2315069832605452,-0.0430682328552419,-0.6806733135107322,2.13751501450742,-0.4393245922570756,-0.161283141709972,-0.0527422455700814,-0.3628279854309181,0.0182822875265135,0.1176715729952431,-0.1189204320347233,0.9884664456521564,0.6953171193929654,0.3293960569774483,0.0655624420066782,-0.4727555920757719,0.0948229058700619,-0.6753350064515657,-0.6502545506913047,-0.5809388608092216,-0.5299956858132668,-0.5480835428321956,-0.4049453639143787,-0.3386938837445343,-0.2857467928917063,-0.0515572019983314,0.4066679428271934,0.764335892637617,-1.0758097511690383,0.0917389843592762,-0.3344349612361129,0.0283162406910002,0.1763701221776404,0.5155534909750172,-0.244147889089816,-0.3448288404677669,-0.4536848643561627,-0.0425218415495838,1
64,2,1,0,S-type,I-type,0.0187164188830165,-0.2875706575817814,0.5062424127948822,-0.3586689564290624,-0.1675495047513197,-0.4082623087204653,-0.3692665977510608,1.0102978891039756,0.3468796029612744,-0.0430682328552419,-0.5537928750653988,1.641432406794986,-0.2553911557302348,0.6747297342757207,-0.2786479260984333,-0.3162820706297521,-0.5152633709953593,-0.2825445734233857,-0.217596019754007,-0.2095706119332658,-0.2061118233559262,-0.1501870540299447,-0.2173304548462797,-0.2414664620367112,-0.1453770047820045,-0.0491061244252811,-0.1390728398075679,-0.2373411146378241,-0.3241208914632265,-0.3354002599373415,-0.3489147059180021,-0.3127351748800268,-0.3123751565459555,-0.6186489117361418,-0.1353064612441044,0.4726270941818413,0.0812943427721803,-0.0727711306147132,0.5062424127948821,-0.0638446382029725,-0.4993980487655481,-0.1978737449114388,-0.3620406793281451,0.3675366887097314,-0.0493291918469021,-0.0425218415495838,2
65,1,0,0,I-type,A-type,0.0602206450272449,-0.1885372445993855,-0.138548971170639,1.930785999694876,-0.665240848526657,-0.4082623087204653,1.2232883999852304,0.5476606376218541,0.1540840742206679,-0.6248719664763439,-0.5396950485714728,1.50787170471855,0.7792344247332433,-0.7903621375011863,-0.632424746548494,-0.101766115459161,0.9634203111938312,1.2140970574546115,-0.599963922166231,3.0224134905201026,2.7704297868627896,2.2772413078382447,1.9413599580624448,0.9640405187729396,-0.0424341859311189,0.2993219753487418,-0.1057349021412372,-0.1682927637325673,-0.2249959904798738,-0.3426508263996662,-0.2928840479216254,-0.2747955234626696,-0.2458042474103326,0.7087892244657722,0.1494957746208129,-0.0883513643869581,-1.6899650010301468,-0.3022195904642911,-0.1385489711706392,0.7228680325527569,1.6562818764772376,2.466505717422898,-0.5313221938536631,-0.8326927893875382,-0.9856831815055744,-0.624126994206658,1
67,2,1,0,S-type,I-type,-0.4170779556313891,0.5542133527685841,0.7674237328821819,0.1640307564174457,0.708387260293274,1.00895798468788,-0.2255774250229748,-0.2193432266774523,-0.2315069832605452,0.4223747540416395,-0.9062385374135472,-0.2856577231648268,-0.899158183574177,-0.4634066067939105,0.7562558330012622,-0.7351953038402462,-0.2027580567182623,-0.5535242558943323,1.3057083656624335,-0.0224716256101015,-0.0616839817000264,-0.054270431828466,-0.1607518754756882,-0.5381706995615669,0.5409084542239,-0.7836302266515999,-0.8947327602443962,-0.9015204900122,-0.9036203125966736,-0.9081950104609824,-0.8671982923844858,-0.8339061759289874,-0.8183140659766908,-0.5901359207437377,-0.1841904271015155,-0.1518684301401457,-0.39341502910114,-0.1313636893097024,0.7674237328821818,-0.4840186599555053,-0.3838601775936503,-0.1856613272414249,0.8691836120028809,-0.2231380538244294,0.5162262265742786,0.4227622805760752,2
76,1,0,0,I-type,A-type,-0.6375691570226094,1.4950307761013455,0.473594747783969,3.354613974717517,0.5292183765341527,0.8358623763326624,0.6844540022549062,-0.3167405427789517,0.1540840742206679,0.887817740938521,-0.8216515784499917,1.4506314038286523,0.0664923581917358,-0.6248150333456036,0.5005135531578448,-0.0774812903455093,0.6966474819328948,0.4970431284545684,0.4176280761888811,1.133317273773316,1.0107342448483787,0.7720881594458112,0.6574614261913287,0.3659595360456708,0.9526797296274429,0.0003329978399518,-0.1501854856963448,-0.1321245799250518,-0.1029961123465166,-0.2411428959271223,-0.1247920739324956,-0.1450019791401314,-0.0860340654848372,0.5662242695037525,1.0931688546508374,0.3540202200844381,-1.2656934999183669,-0.4962781448620951,0.4735947477839702,0.1293620421777314,0.8500842865222176,0.91293816049202,-0.1606849933565743,-0.7431868194670004,-0.1814983422749222,0.8880464027017345,1
86,1,0,0,I-type,A-type,-0.1628645704979873,-0.2380539510905835,0.1471180976748459,0.1761162989110063,-0.3666260422614546,-0.4298992597648676,0.0378527249785172,0.8885512439771007,-0.2315069832605452,-0.2757897263036827,-0.1026624272597686,-0.1330169207917763,-0.3243661944278002,-0.0867869448399598,-0.39714184909255,-0.5591303217662704,0.00303812585446,-0.4659769738652572,-0.5937966979337757,0.1646273607130625,0.2371322424156282,0.5079485383063548,0.5181910769714109,0.5108072740499314,-0.1968484142074474,0.1769012916443554,-0.2724245904728904,-0.5316186101626095,-0.5757456401132759,-0.6689263172042716,-0.699106318395356,-0.7061094553652576,-0.6718580658783201,0.1068483035150233,-0.5348797473829435,0.3546613383228025,2.045404368898044,1.192828137197053,0.1471180976748467,-0.0204967055117693,-0.0973262570873441,0.235111972479968,-0.3305570995170522,-0.0647375995682431,-0.3971622918884931,-0.2751639026124136,1
