feature,mean_diff(mis-correct),abs_mean_diff,std_correct,std_mis
Al,1207.604874619181,1207.604874619181,7785.950697681401,5863.456239441902
Zr+Nb+Ce+Y,-69.34103993479823,69.34103993479823,236.38928743509211,151.01658413315965
P,65.29696400625983,65.29696400625983,337.1917773734826,297.3161676746433
Ba,64.74437580655609,64.74437580655609,409.8002560583141,269.7490846730484
Rb,-50.57900155640601,50.57900155640601,230.20762161231497,271.6825483085857
REE,-38.79951676168889,38.79951676168889,174.83914087044317,127.19883476028998
ACNK_Boundary_Risk,-35.05151401978192,35.05151401978192,747.150484662994,195.3487455761894
Zr,-30.965234850978135,30.965234850978135,154.29280048032683,92.11709231032854
Y,-24.05051238273123,24.05051238273123,48.4423114061015,13.33008176423027
Sr,18.279708436529873,18.279708436529873,110.81308484083962,129.08011182270388
Nb,-7.46451779458998,7.46451779458998,19.596075570326054,11.076454640089114
Nd,-6.174554928822811,6.174554928822811,29.997278730754523,18.661638892507753
La,-4.618627568147261,4.618627568147261,44.452914707203774,31.488445514547852
Th,-3.9008600240919833,3.9008600240919833,17.03777625044078,14.953534863653479
Dy,-3.19819011970229,3.19819011970229,5.987349446151285,2.4540833924426937
Ce,-2.5912357723495205,2.5912357723495205,80.72138176803479,61.21142655848874
Yb,-2.538088702884099,2.538088702884099,4.65772668738836,1.6617846554702655
Er,-2.1903981534303103,2.1903981534303103,4.007414170946087,1.574447279723206
U,2.083727825750975,2.083727825750975,7.12931710711155,13.137037387990937
Gd,-1.984369376227674,1.984369376227674,4.8007912292193895,2.5280815636609275
Sm,-1.6992911106330855,1.6992911106330855,4.935059607160225,3.0913052210467167
Hf,-1.4660711279010945,1.4660711279010945,3.714252283492314,1.9721208612906935
Pr,-1.348355930172863,1.348355930172863,8.645146504387853,5.795204315531596
Ga,-1.2691934549377422,1.2691934549377422,6.169171595358261,4.320222200701248
Sr/Y,1.260332446317105,1.260332446317105,7.49317854017006,9.641650002738292
Ta,-1.0069023930164591,1.0069023930164591,3.9473539569258094,2.5874098962861636
Pb,0.777145502645503,0.777145502645503,21.957043558649445,15.565946588043342
Ho,-0.690941375495532,0.690941375495532,1.262347567618866,0.5149543646824248
Tb,-0.4410189881584551,0.4410189881584551,0.9032863698496192,0.386986721304089
Lu,-0.37753927023612016,0.37753927023612016,0.6948089111259563,0.25206047929645864
Tm,-0.3685261149642004,0.3685261149642004,0.6643453442257071,0.2416752494286295
Fe2O3t,0.26240224288033076,0.26240224288033076,1.2232824202413102,1.2755263484164958
Al2O3,0.17511111111111077,0.17511111111111077,1.2099202569229304,1.1075417341168041
Total,0.10796204827700251,0.10796204827700251,0.5009302772208237,0.6942628057198277
K2O,-0.10588444444444534,0.10588444444444534,1.0233654448607008,0.7309660990145144
SiO2,0.09802666666666937,0.09802666666666937,3.4495164596827896,2.833775801667742
CaO,-0.06520888888888887,0.06520888888888887,0.8369428600591656,0.6801395954368821
A/CNK,0.05475418855703906,0.05475418855703906,0.13152509977058108,0.2569267034899962
A/NK,0.05411176175466892,0.05411176175466892,0.2543532304304511,0.3396772732306848
L.O.I,-0.04499329756399617,0.04499329756399617,0.7453074999764663,0.49966999771778015
MnO,0.044395111111111114,0.044395111111111114,0.041749339797103095,0.12108037626444622
Eu,0.01641669112745514,0.01641669112745514,0.7258778926003006,0.39134255859225126
MgO,0.015682730923694765,0.015682730923694765,0.39349439443348677,0.38734769302800515
P2O5,0.013502947845804969,0.013502947845804969,0.07733354370690844,0.06809499324161185
TiO2,0.00975903614457832,0.00975903614457832,0.17639214555677077,0.1456829757101519
Na2O,0.0027733333333328503,0.0027733333333328503,0.982162848944812,1.0435967217498618
10000*Ga/Al,-0.0017536566576041857,0.0017536566576041857,1.2360726634920465,0.9375340694014901
