index,y_true,y_pred,correct,y_true_name,y_pred_name
4,1,0,0,I-type,A-type
7,0,1,0,A-type,I-type
24,1,0,0,I-type,A-type
30,1,0,0,I-type,A-type
38,1,0,0,I-type,A-type
44,1,0,0,I-type,A-type
86,1,0,0,I-type,A-type
91,1,0,0,I-type,A-type
96,1,2,0,I-type,S-type
99,0,1,0,A-type,I-type
112,0,1,0,A-type,I-type
120,0,1,0,A-type,I-type
135,1,0,0,I-type,A-type
138,2,1,0,S-type,I-type
139,0,1,0,A-type,I-type
153,1,2,0,I-type,S-type
172,0,2,0,A-type,S-type
183,0,1,0,A-type,I-type
186,1,0,0,I-type,A-type
211,0,1,0,A-type,I-type
215,1,2,0,I-type,S-type
234,1,0,0,I-type,A-type
255,0,1,0,A-type,I-type
