index,y_true,y_pred,correct,y_true_name,y_pred_name,SiO2,TiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O,MnO,P2O5,L.O.I,Total,Ga,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Al,10000*Ga/Al,Zr+Nb+Ce+Y,REE,Sr/Y,A/CNK,A/NK,P,Type_Encoded
693,0,1,0,A-type,I-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,1,0,A-type,I-type,0.8851171396438039,-0.5846708965289693,-1.362836409079855,-0.4833011133939089,-0.4860719647675355,-0.3217145045428565,0.2174641908886251,-1.1567923941543832,-0.4243025120011519,-0.7412327132005644,0.4048593265215655,-0.3238179237580826,0.8574061352571506,0.5298760181395857,-0.6426544377422309,1.8794708667296005,-0.0122060358175934,1.868617213576744,-0.818283659995146,-0.007382997680814,0.2802945858990004,0.4917164945491816,0.692279013496308,1.5387589631124243,-0.7287196449370237,1.5659052029056637,1.8723160660610485,2.023170373331895,2.0396267473705696,2.228883412238113,1.976357600931627,1.939682025055711,1.844522299448231,0.6707719031425667,0.8572505846433315,-0.7790921544007002,2.259023586241038,0.7475246911151353,-1.3628364090798546,-2.643783843069221,0.8120851644479047,0.684528942736485,-0.574693802589518,-0.2794579686625993,-0.4024240250509994,-0.7404480247380727,0.0
795,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,2,1,0,S-type,I-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,0,1,0,A-type,I-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,0,1,0,A-type,I-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,1,2,0,I-type,S-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0,A-type,S-type,0.4363526944593237,-0.5846708965289693,-0.5466447838070444,-0.510493584004421,-0.5457949260205761,-0.4190807842426664,0.0857491158878793,0.2067700312666064,0.1540840742206679,-0.7412327132005644,-0.1308580802476203,-0.6290995285041836,-1.0830916201010174,0.2318912306595369,-0.4943239154330487,0.0156105392568227,-0.631118999702966,-0.5410175013187501,-0.7180662662177485,-0.8070802779330482,-0.7921236406494047,-0.6976496207491534,-0.6873678834635022,-0.4750918459145504,-0.5056768707601046,-0.1244419297818267,-0.1390728398075679,-0.1156844963761811,-0.0419961732798379,0.019877496716562,0.0012769065593517,0.0187375690821474,0.1269928437491565,-0.3145103411505002,-0.0694193768275937,0.3533791018460737,0.1999716857405105,0.9584579024170964,-0.5466447838070447,-0.3249389553427949,-0.7063392135756584,-0.6887389205934582,-0.4964572579178009,-0.2171730147837968,-0.4763790541093499,-0.7404480247380727,1.0
834,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,1,0,0,I-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,2,0,0,S-type,A-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
